Tag	dynamicColors	mergedColors
GALNT2	black	cyan
SIRT7	brown	brown
TSHZ3	turquoise	turquoise
SKIV2L	black	cyan
HCAR1	grey	grey
DTX4	yellow	cyan
MXD4	purple	turquoise
SNX2	salmon	cyan
CASP7	green	cyan
CIR1	grey	grey
XKR9	grey	grey
WDR46	black	cyan
LRRC31	grey	grey
MRC2	pink	turquoise
PARP11	red	magenta
ARHGAP17	yellow	cyan
HLA-DRB1	magenta	magenta
FAM78A	red	magenta
KCNK9	grey	grey
A1CF	grey	grey
EMC8	black	cyan
SUSD5	turquoise	turquoise
TPK1	salmon	cyan
OPRL1	red	magenta
MRPS10	green	cyan
FKBP5	red	magenta
VIP	turquoise	turquoise
L1CAM	turquoise	turquoise
UBE3C	yellow	cyan
SYTL3	red	magenta
TYW1B	grey	grey
GEN1	brown	brown
RSPRY1	blue	cyan
SNX25	blue	cyan
LRSAM1	yellow	cyan
GALK1	brown	brown
SNRPD1	brown	brown
FCSK	yellow	cyan
MPND	black	cyan
CASP3	green	cyan
COMT	grey	grey
AMDHD2	yellow	cyan
C11orf96	turquoise	turquoise
EPHB1	grey	grey
PAPSS1	green	cyan
NUS1	green	cyan
ERAP1	salmon	cyan
CCDC186	blue	cyan
TMEM88	turquoise	turquoise
ARHGEF39	brown	brown
NOTUM	grey	grey
RHOBTB3	turquoise	turquoise
FRZB	turquoise	turquoise
MYO1E	yellow	cyan
STAG1	blue	cyan
PRR5L	pink	turquoise
AEBP2	blue	cyan
SLC25A4	turquoise	turquoise
SLC2A3	magenta	magenta
ZNF471	turquoise	turquoise
EPS8L3	grey	grey
PPP4R3A	green	cyan
S100A13	grey	grey
NRSN2	turquoise	turquoise
ALG8	brown	brown
SYPL2	turquoise	turquoise
PIK3IP1	red	magenta
GLUL	magenta	magenta
PLXND1	purple	turquoise
GOLGA8B	tan	tan
NEK9	blue	cyan
EGR3	purple	turquoise
DNAJC14	yellow	cyan
RNF144A	pink	turquoise
PHLDA3	turquoise	turquoise
ADAMTS9	purple	turquoise
TESC	grey	grey
XPNPEP3	blue	cyan
ACTC1	turquoise	turquoise
TUBE1	blue	cyan
CAMSAP2	blue	cyan
HSBP1L1	turquoise	turquoise
PINX1	brown	brown
PLAT	pink	turquoise
CFI	grey	grey
ARL6	blue	cyan
MFSD6	blue	cyan
FAM126B	blue	cyan
DNAJC10	blue	cyan
SULT1A1	grey	grey
RPRD1B	greenyellow	greenyellow
DCHS1	turquoise	turquoise
EGFL6	grey	grey
GPS1	brown	brown
OPTN	lightcyan	lightcyan
S100A4	grey	grey
SPTSSB	grey	grey
INKA2	turquoise	turquoise
HYAL3	brown	brown
PSME4	blue	cyan
HSPA2	turquoise	turquoise
SBK1	greenyellow	greenyellow
PDLIM1	grey	grey
OTUD6B	brown	brown
MTPN	blue	cyan
CPPED1	grey	grey
PPP1R3F	turquoise	turquoise
BAAT	grey	grey
FKBP14	blue	cyan
ZNF195	tan	tan
BICDL1	yellow	cyan
B4GALT5	yellow	cyan
NPR2	turquoise	turquoise
DYNLT3	grey	grey
ADPGK	green	cyan
TPPP	grey	grey
INSYN1	turquoise	turquoise
UBASH3A	red	magenta
SLC35C1	yellow	cyan
MXRA7	turquoise	turquoise
FBXO36	grey	grey
CD47	green	cyan
MATN2	turquoise	turquoise
DLX5	grey	grey
ZNF606	grey	grey
CUL7	yellow	cyan
IL21R	red	magenta
PITPNM2	turquoise	turquoise
RABL6	brown	brown
WBP4	tan	tan
ITPRID2	blue	cyan
MAB21L4	grey	grey
ANKRD27	yellow	cyan
AAMP	black	cyan
TRPC4AP	greenyellow	greenyellow
IL4R	yellow	cyan
TMEM123	green	cyan
RCBTB1	blue	cyan
BIRC7	grey	grey
HIST1H2AE	grey	grey
COL18A1	purple	turquoise
GABPB2	blue	cyan
INAFM1	turquoise	turquoise
KCNAB2	red	magenta
EXOC3L4	grey	grey
ETNK1	green	cyan
PTCH1	turquoise	turquoise
RASGEF1A	grey	grey
ASB7	green	cyan
ITPR2	blue	cyan
NASP	brown	brown
DVL2	black	cyan
VPS13D	yellow	cyan
PUS7	brown	brown
PDE3A	turquoise	turquoise
MGAT5	yellow	cyan
GATA6	grey	grey
ZNF670	green	cyan
HSPB8	turquoise	turquoise
SLC6A9	grey	grey
RAB20	grey	grey
DTNB	grey	grey
NNMT	pink	turquoise
RING1	grey	grey
TCTE3	tan	tan
LEO1	green	cyan
LMNA	yellow	cyan
GTSE1	brown	brown
YIPF2	black	cyan
POLE2	brown	brown
POLR2A	yellow	cyan
TRIM59	brown	brown
ATP5F1D	grey	grey
ASB9	grey	grey
PDCD2L	brown	brown
DNAJC11	black	cyan
NAGS	grey	grey
PPP1R14A	turquoise	turquoise
CX3CL1	red	magenta
STARD4	green	cyan
GZF1	tan	tan
RILPL2	red	magenta
TBXAS1	magenta	magenta
MUC5B	grey	grey
METRNL	grey	grey
SIGLEC7	magenta	magenta
KMT2A	blue	cyan
FZD6	green	cyan
ANKRD35	turquoise	turquoise
IMPAD1	blue	cyan
ZNF256	turquoise	turquoise
COMMD7	greenyellow	greenyellow
PBRM1	blue	cyan
SMC3	brown	brown
RIPK2	brown	brown
GMEB2	greenyellow	greenyellow
AP3D1	black	cyan
GAB3	red	magenta
LILRA6	magenta	magenta
CSRNP2	blue	cyan
KCNQ1	grey	grey
HEATR5A	blue	cyan
RND3	blue	cyan
MGST1	grey	grey
RUNX2	pink	turquoise
ALDH4A1	grey	grey
RAB32	turquoise	turquoise
NID1	turquoise	turquoise
HNF4G	grey	grey
HADH	grey	grey
COL14A1	turquoise	turquoise
DDRGK1	greenyellow	greenyellow
UTP14A	brown	brown
ZDHHC18	yellow	cyan
HS2ST1	green	cyan
FTL	magenta	magenta
LRRC42	brown	brown
CD302	turquoise	turquoise
YTHDF3	blue	cyan
KCNJ8	turquoise	turquoise
HLA-DMA	magenta	magenta
ALDH9A1	green	cyan
RAB30	turquoise	turquoise
C1orf216	pink	turquoise
PUS1	black	cyan
SSNA1	brown	brown
CLEC12A	magenta	magenta
ZNF461	turquoise	turquoise
PTPRN2	grey	grey
C19orf47	cyan	cyan
COL6A3	pink	turquoise
UTP15	salmon	cyan
WDFY1	green	cyan
ATP1A3	grey	grey
CXorf21	red	magenta
SMIM10	turquoise	turquoise
FOPNL	green	cyan
ZFP69	blue	cyan
SULT1C2	grey	grey
DST	turquoise	turquoise
ANGPT2	purple	turquoise
CHI3L1	magenta	magenta
KLHDC10	blue	cyan
LRP6	blue	cyan
RBM3	grey	grey
XPR1	green	cyan
PIP5K1A	blue	cyan
NAA35	green	cyan
ZNF287	turquoise	turquoise
PTPN22	red	magenta
ALAD	yellow	cyan
ACTG1	green	cyan
TMBIM1	yellow	cyan
FDX1	brown	brown
FAM171A1	grey	grey
ADORA1	pink	turquoise
COA6	turquoise	turquoise
GLI2	pink	turquoise
ST3GAL4	pink	turquoise
DGKZ	yellow	cyan
TXLNA	yellow	cyan
RLIM	blue	cyan
SLC10A6	purple	turquoise
ARF6	green	cyan
ABHD17A	black	cyan
DPM3	grey	grey
B4GALNT1	pink	turquoise
JPH2	turquoise	turquoise
NADK2	green	cyan
CDC5L	green	cyan
RNF38	blue	cyan
ZBTB2	blue	cyan
MGME1	greenyellow	greenyellow
ACVR1B	yellow	cyan
UPK3BL1	grey	grey
UPK3BL2	grey	grey
RBM25	tan	tan
IGFL2	grey	grey
RHOBTB1	purple	turquoise
NENF	grey	grey
ARID5B	purple	turquoise
NEURL1B	turquoise	turquoise
CXCR2	magenta	magenta
PCCA	blue	cyan
PPP1CA	brown	brown
UBAP2	green	cyan
RFC3	brown	brown
IL17RE	grey	grey
SESN2	yellow	cyan
FUT11	pink	turquoise
RNFT1	green	cyan
ADA2	magenta	magenta
ATP6V1A	green	cyan
MRVI1	turquoise	turquoise
ASXL1	greenyellow	greenyellow
RBPMS	turquoise	turquoise
GHDC	black	cyan
ARSG	blue	cyan
ZNF281	blue	cyan
BCLAF3	blue	cyan
NFIB	turquoise	turquoise
ZNF493	blue	cyan
NMNAT1	yellow	cyan
DHRS4	grey	grey
RNF111	blue	cyan
TTC31	greenyellow	greenyellow
CD40LG	red	magenta
MPG	black	cyan
PPIL1	brown	brown
SLC12A2	salmon	cyan
GKN2	grey	grey
ZNF383	turquoise	turquoise
PLD4	red	magenta
HINT2	brown	brown
PRKCH	red	magenta
PATL2	red	magenta
ACACB	turquoise	turquoise
SHISA4	turquoise	turquoise
PAN2	tan	tan
CTSG	turquoise	turquoise
TRAFD1	lightcyan	lightcyan
ZNF608	blue	cyan
APBB3	tan	tan
MTRNR2L1	grey	grey
DES	turquoise	turquoise
GGT1	grey	grey
FAM117A	turquoise	turquoise
BMP4	grey	grey
PRSS3	turquoise	turquoise
XRCC5	green	cyan
PNMA1	turquoise	turquoise
SZT2	yellow	cyan
SLC4A3	turquoise	turquoise
TUBB2A	grey	grey
MRPS28	brown	brown
ZNF783	yellow	cyan
POF1B	grey	grey
BPTF	blue	cyan
IGSF8	black	cyan
FCGR2A	magenta	magenta
FOXQ1	grey	grey
UBA7	red	magenta
SDCCAG8	blue	cyan
ACTA2	turquoise	turquoise
SYNPO2	turquoise	turquoise
ANGPT1	turquoise	turquoise
ADH1B	turquoise	turquoise
SNAI2	pink	turquoise
LPL	purple	turquoise
GCC1	black	cyan
FAM221A	grey	grey
GEMIN4	brown	brown
HES1	red	magenta
POC1B	green	cyan
HDAC3	black	cyan
ORMDL3	grey	grey
SYT11	turquoise	turquoise
PRIMA1	turquoise	turquoise
ZNF154	turquoise	turquoise
RAB11FIP2	blue	cyan
COPB2	green	cyan
LEMD3	blue	cyan
MYH11	turquoise	turquoise
DOK7	grey	grey
CAD	black	cyan
HIST1H2BJ	brown	brown
STAC	turquoise	turquoise
ACSM1	grey	grey
ADGRE3	magenta	magenta
NUDT17	yellow	cyan
ZWINT	brown	brown
DOCK4	purple	turquoise
COG5	blue	cyan
BCAP31	brown	brown
UBC	yellow	cyan
H1FX	cyan	cyan
FNIP1	salmon	cyan
PCCB	brown	brown
WASHC2C	blue	cyan
P4HA3	pink	turquoise
GSTP1	grey	grey
ZNF524	cyan	cyan
SDC2	pink	turquoise
TNFRSF1B	magenta	magenta
NAXE	brown	brown
BMT2	blue	cyan
NSUN6	green	cyan
KYNU	grey	grey
FBXL4	blue	cyan
TIMM23B	blue	cyan
MSLN	grey	grey
CEP135	blue	cyan
DHFR	brown	brown
ACSL5	grey	grey
GPR27	turquoise	turquoise
CITED1	grey	grey
MRS2	green	cyan
COL9A1	grey	grey
NR1H2	cyan	cyan
SELENOM	turquoise	turquoise
RBP4	grey	grey
NTMT1	brown	brown
LYSMD1	yellow	cyan
ZNF808	blue	cyan
NELFCD	greenyellow	greenyellow
HMGB1	brown	brown
CCNF	brown	brown
THSD1	purple	turquoise
CD82	grey	grey
KDM5C	brown	brown
ZSCAN30	blue	cyan
FAM111B	brown	brown
UBQLN1	green	cyan
FNDC10	grey	grey
ZC2HC1A	turquoise	turquoise
TCP11L1	turquoise	turquoise
DEPDC1B	brown	brown
GRID2IP	greenyellow	greenyellow
ATXN2L	black	cyan
CEP68	turquoise	turquoise
GJB2	grey	grey
TCF3	black	cyan
TLK1	blue	cyan
EVA1B	pink	turquoise
PPARD	yellow	cyan
SCARF1	purple	turquoise
CYP4F3	grey	grey
SMARCD2	brown	brown
ZNF276	yellow	cyan
ING4	turquoise	turquoise
CCL19	red	magenta
MAVS	greenyellow	greenyellow
HPS3	green	cyan
RBBP8	green	cyan
CALCOCO2	blue	cyan
FBP2	grey	grey
TRIM45	blue	cyan
FARSB	brown	brown
EPHA4	turquoise	turquoise
CIPC	blue	cyan
CORO1B	black	cyan
STIP1	brown	brown
ZNF831	red	magenta
LCOR	green	cyan
MRE11	tan	tan
BICC1	pink	turquoise
CYP4F12	grey	grey
CASP8	green	cyan
KARS	brown	brown
RCOR2	brown	brown
TGOLN2	yellow	cyan
PSRC1	brown	brown
FUT10	green	cyan
CYGB	pink	turquoise
CTLA4	red	magenta
PHC3	blue	cyan
P4HA2	yellow	cyan
HIVEP1	blue	cyan
DAPK2	grey	grey
AQP1	turquoise	turquoise
ANKRD37	grey	grey
STK10	red	magenta
SLC16A7	turquoise	turquoise
CASC3	yellow	cyan
SLC44A4	grey	grey
TMX1	green	cyan
ZNF239	brown	brown
BICD2	yellow	cyan
CEBPZ	green	cyan
PAX9	grey	grey
ATG101	black	cyan
SLC25A25	yellow	cyan
AK6	salmon	cyan
ETFRF1	blue	cyan
ZBTB1	blue	cyan
MRPS9	brown	brown
POLD4	grey	grey
NFATC1	red	magenta
TRMT61B	green	cyan
ZNF706	brown	brown
PRDM5	turquoise	turquoise
CLIC4	turquoise	turquoise
HINT1	grey	grey
FCER2	red	magenta
FCRL3	red	magenta
UCN	grey	grey
SYTL5	grey	grey
TCEAL9	grey	grey
PHF23	brown	brown
HAUS2	green	cyan
RPUSD1	brown	brown
NOSTRIN	grey	grey
ABHD8	turquoise	turquoise
SLAIN1	grey	grey
TMEM131	blue	cyan
PDHA1	brown	brown
ZMAT1	turquoise	turquoise
ATP7B	yellow	cyan
PELP1	black	cyan
XRCC2	brown	brown
GNG3	blue	cyan
MAGT1	green	cyan
SDF2L1	brown	brown
HIST1H4A	grey	grey
OXSR1	green	cyan
DYSF	purple	turquoise
ZBTB33	green	cyan
ADGRF4	grey	grey
NPC1	blue	cyan
MED21	blue	cyan
MAP3K3	pink	turquoise
HSF2	blue	cyan
FAM124B	purple	turquoise
GLCCI1	red	magenta
STXBP6	grey	grey
PAGR1	black	cyan
KLHL42	turquoise	turquoise
ZADH2	blue	cyan
FAM117B	green	cyan
PREPL	blue	cyan
ZKSCAN2	yellow	cyan
ADGRG7	grey	grey
RSF1	blue	cyan
PNMA8A	turquoise	turquoise
SPAG4	grey	grey
MSX1	grey	grey
GIMAP5	red	magenta
ATP7A	blue	cyan
COPS2	blue	cyan
MMP14	pink	turquoise
CAB39L	turquoise	turquoise
KDM5A	blue	cyan
PRAME	brown	brown
OCRL	blue	cyan
ZNF322	blue	cyan
RAB25	turquoise	turquoise
MAP6	turquoise	turquoise
GABRB3	grey	grey
CYP51A1	blue	cyan
PLEKHA3	blue	cyan
CD81	turquoise	turquoise
PAFAH2	grey	grey
HS3ST3B1	magenta	magenta
CHI3L2	red	magenta
HMBOX1	blue	cyan
ZNF585B	turquoise	turquoise
C19orf48	brown	brown
LEMD1	grey	grey
RNASEH2A	brown	brown
ABLIM1	yellow	cyan
RRM2	brown	brown
DDHD1	blue	cyan
PINLYP	turquoise	turquoise
LSM7	brown	brown
FAM234A	grey	grey
MAPKAP1	yellow	cyan
RPS6KB2	brown	brown
VAT1L	purple	turquoise
EIF4EBP2	blue	cyan
WDR12	brown	brown
AGBL5	yellow	cyan
TMEM154	red	magenta
ACADM	blue	cyan
KIF3C	turquoise	turquoise
C12orf75	grey	grey
SH3GLB1	blue	cyan
CRABP1	grey	grey
TIMD4	red	magenta
MST1	grey	grey
CCL21	red	magenta
PDZD3	grey	grey
SLC16A10	grey	grey
FAM207A	brown	brown
CDC42EP5	grey	grey
PACS1	yellow	cyan
MTA2	brown	brown
ZNF138	green	cyan
TMEM140	magenta	magenta
PFN4	grey	grey
NEDD4	blue	cyan
PTPRR	grey	grey
VSTM2L	turquoise	turquoise
RNF121	black	cyan
DHX9	green	cyan
DPP8	blue	cyan
SDSL	grey	grey
ATN1	yellow	cyan
EVI2B	red	magenta
ZNF419	blue	cyan
OSTC	brown	brown
CLDN2	grey	grey
CLDN3	red	magenta
TAF4	greenyellow	greenyellow
CHST3	turquoise	turquoise
SMARCA1	turquoise	turquoise
RNF157	grey	grey
FERMT1	green	cyan
CBARP	grey	grey
SCUBE3	pink	turquoise
MYO9B	yellow	cyan
MLXIP	yellow	cyan
GSDMA	grey	grey
ECHDC2	grey	grey
CTAGE4	grey	grey
SAMHD1	magenta	magenta
CFD	turquoise	turquoise
APCDD1L	pink	turquoise
HMOX2	black	cyan
EGR2	pink	turquoise
TTYH1	grey	grey
CDKN1C	turquoise	turquoise
AGPAT5	green	cyan
FEZ1	turquoise	turquoise
NAT10	black	cyan
GRIN1	brown	brown
PPARGC1A	grey	grey
FAM3D	grey	grey
SPR	brown	brown
GGA3	black	cyan
ADAM12	pink	turquoise
XKR6	grey	grey
USP54	blue	cyan
DCTD	green	cyan
TUT7	blue	cyan
PLEKHF2	brown	brown
GPATCH3	brown	brown
ACD	black	cyan
PLEKHA6	yellow	cyan
PCM1	blue	cyan
KIR2DL4	red	magenta
POP4	brown	brown
MUC1	grey	grey
AQP9	magenta	magenta
C17orf113	yellow	cyan
ASIC3	grey	grey
SLC30A6	green	cyan
NACAD	turquoise	turquoise
SF3B2	black	cyan
REXO4	brown	brown
KCTD20	blue	cyan
RTN4RL1	grey	grey
ZNF770	blue	cyan
NAV1	pink	turquoise
NFKBIZ	turquoise	turquoise
ZNF780B	blue	cyan
OTUD4	green	cyan
ACAP2	green	cyan
TMEM246	grey	grey
FAM83B	green	cyan
CRYL1	grey	grey
ARID5A	pink	turquoise
DNAJC1	grey	grey
RPS15	grey	grey
FAM184A	turquoise	turquoise
FZD5	green	cyan
RFNG	black	cyan
IL17RA	black	cyan
CD163	magenta	magenta
REG4	grey	grey
NFKB2	red	magenta
BACH1	blue	cyan
CSTA	grey	grey
TAB1	black	cyan
GPC1	pink	turquoise
SYT17	grey	grey
YARS2	brown	brown
CARMIL2	red	magenta
FBXO25	blue	cyan
ANPEP	grey	grey
CLDN4	grey	grey
C12orf45	brown	brown
RASSF2	red	magenta
SLC18B1	green	cyan
DHCR24	brown	brown
PGK1	brown	brown
POLR2J	brown	brown
ERICH5	grey	grey
SCRIB	midnightblue	midnightblue
D2HGDH	greenyellow	greenyellow
BCL3	cyan	cyan
EXOC4	yellow	cyan
SMIM31	grey	grey
GPR20	turquoise	turquoise
NDC1	brown	brown
MAP1LC3A	grey	grey
PABPC1L	tan	tan
PSMD11	brown	brown
CES2	grey	grey
SLC9A1	yellow	cyan
RENBP	magenta	magenta
DLG4	turquoise	turquoise
TMEM98	grey	grey
B4GALT6	blue	cyan
PALD1	turquoise	turquoise
UFSP2	blue	cyan
ENC1	yellow	cyan
FAM114A1	blue	cyan
APAF1	green	cyan
SLC34A2	grey	grey
C2orf68	greenyellow	greenyellow
FAM110C	grey	grey
TTBK2	turquoise	turquoise
SACM1L	blue	cyan
MAML2	blue	cyan
COCH	grey	grey
NDP	grey	grey
HSF4	tan	tan
DOCK5	green	cyan
CCDC163	brown	brown
DIP2B	yellow	cyan
ELMO2	greenyellow	greenyellow
FCMR	red	magenta
SFXN4	brown	brown
CPNE2	pink	turquoise
TTPA	grey	grey
WIPF1	red	magenta
TIRAP	yellow	cyan
CKLF	grey	grey
CCDC184	pink	turquoise
POLRMT	black	cyan
ARHGAP5	blue	cyan
PPP1R14C	grey	grey
ATF2	blue	cyan
LRRC45	brown	brown
LNX2	green	cyan
FGF2	turquoise	turquoise
XPO5	green	cyan
SORBS3	pink	turquoise
NTF3	grey	grey
ELF4	yellow	cyan
PKM	brown	brown
ELP2	blue	cyan
RARS2	green	cyan
SPATA5	blue	cyan
CST4	grey	grey
CD177	grey	grey
LILRB2	magenta	magenta
UQCRHL	grey	grey
FADS3	turquoise	turquoise
UBE2QL1	turquoise	turquoise
ARMC7	brown	brown
ENPP5	grey	grey
IGFBP3	pink	turquoise
REEP6	grey	grey
SLC25A35	grey	grey
ZFP41	midnightblue	midnightblue
STAMBPL1	green	cyan
ARHGEF7	blue	cyan
CD48	red	magenta
DMRTA1	grey	grey
GZMA	red	magenta
FUCA1	grey	grey
ADCY5	turquoise	turquoise
NCAPG2	brown	brown
ZNF467	turquoise	turquoise
PRPF31	cyan	cyan
NAA50	green	cyan
MRPS18A	brown	brown
CLDN5	turquoise	turquoise
PLCXD2	yellow	cyan
TFEB	yellow	cyan
CXCL8	turquoise	turquoise
SLC25A45	red	magenta
FEM1B	blue	cyan
RAB11FIP4	yellow	cyan
CENPK	brown	brown
HNF4A	greenyellow	greenyellow
ZEB2	purple	turquoise
LCN12	grey	grey
PRR13	turquoise	turquoise
SCNN1D	grey	grey
HIST1H4B	turquoise	turquoise
CCDC126	blue	cyan
STAP1	red	magenta
USPL1	blue	cyan
DMKN	grey	grey
GDPD2	grey	grey
THAP7	black	cyan
DNAJC13	green	cyan
TMEM68	brown	brown
MRPL51	brown	brown
PCDHGB6	turquoise	turquoise
C4orf48	grey	grey
ANGEL2	blue	cyan
PDK2	yellow	cyan
PLPP3	purple	turquoise
MYMX	turquoise	turquoise
POLR2L	brown	brown
FBLN2	pink	turquoise
IFRD2	brown	brown
MED13L	blue	cyan
NMNAT3	grey	grey
RFC1	green	cyan
TNIK	grey	grey
RB1	blue	cyan
SCG2	turquoise	turquoise
SPOPL	blue	cyan
ITGA3	yellow	cyan
SNTB2	blue	cyan
PNPLA2	yellow	cyan
ARHGEF4	turquoise	turquoise
PRKD3	blue	cyan
PRKAB2	blue	cyan
SAMD12	blue	cyan
PRSS2	grey	grey
CD28	red	magenta
ZNF543	blue	cyan
MAN1A1	blue	cyan
TRIM38	red	magenta
SHMT2	brown	brown
TMEM14B	brown	brown
TMEM170A	brown	brown
TK1	brown	brown
SP100	lightcyan	lightcyan
ZNF605	grey	grey
VARS	black	cyan
ZFR	blue	cyan
ZBTB16	turquoise	turquoise
DDX5	blue	cyan
GIPR	grey	grey
HSPB2	turquoise	turquoise
MSI1	grey	grey
TNFRSF12A	grey	grey
TBC1D8B	blue	cyan
BTF3	salmon	cyan
JAZF1	turquoise	turquoise
NEURL3	grey	grey
CBLC	grey	grey
CYP2C9	grey	grey
NMB	grey	grey
ZNF81	blue	cyan
RASIP1	purple	turquoise
FBXL17	salmon	cyan
USP47	blue	cyan
MYO18A	yellow	cyan
MRM1	black	cyan
MBIP	grey	grey
NCAPD2	brown	brown
NUP54	green	cyan
MUC5AC	grey	grey
CCND2	turquoise	turquoise
PSMB10	lightcyan	lightcyan
CENPJ	green	cyan
LRATD1	grey	grey
MSS51	tan	tan
PGM2L1	blue	cyan
GLRX5	brown	brown
KAT14	greenyellow	greenyellow
SLC25A43	green	cyan
MYRFL	grey	grey
KMT5B	blue	cyan
RNF32	greenyellow	greenyellow
TLE3	yellow	cyan
ACSF2	grey	grey
RTN3	brown	brown
GTPBP10	green	cyan
BMP2K	blue	cyan
CLIP3	turquoise	turquoise
RTL5	turquoise	turquoise
EDEM1	blue	cyan
CLNS1A	brown	brown
ATG9A	black	cyan
INPP5J	grey	grey
VPS39	blue	cyan
KCTD11	pink	turquoise
WDR74	brown	brown
MAFB	magenta	magenta
NHSL2	turquoise	turquoise
ABCC10	yellow	cyan
CD200R1	red	magenta
CBLIF	grey	grey
GMPR	grey	grey
COMMD6	grey	grey
KLHL15	blue	cyan
TBC1D22A	black	cyan
SOX13	yellow	cyan
NAA38	brown	brown
PDZD2	turquoise	turquoise
PIK3C2B	yellow	cyan
C17orf80	blue	cyan
SGF29	grey	grey
SIRPG	red	magenta
SOX5	turquoise	turquoise
ZNF841	blue	cyan
PDE4DIP	blue	cyan
FAM131A	turquoise	turquoise
RETREG3	yellow	cyan
LMO3	turquoise	turquoise
ATP10D	blue	cyan
GSTM4	grey	grey
TMEM253	grey	grey
TBRG4	midnightblue	midnightblue
RNPC3	tan	tan
TTC14	tan	tan
BEX2	turquoise	turquoise
THEM4	grey	grey
NUAK1	pink	turquoise
CA12	grey	grey
TGFBRAP1	yellow	cyan
ADRB2	turquoise	turquoise
AHSA1	brown	brown
PSMD5	green	cyan
VIL1	greenyellow	greenyellow
MAMLD1	turquoise	turquoise
TOR1AIP2	green	cyan
TTC8	blue	cyan
QPCTL	cyan	cyan
SOX4	grey	grey
TRIM39-RPP21	brown	brown
MOK	grey	grey
IGFALS	grey	grey
C1orf210	grey	grey
MGLL	grey	grey
PDCD6IP	green	cyan
ATP1B2	turquoise	turquoise
ARHGAP18	green	cyan
APOBEC1	grey	grey
HIST1H3G	grey	grey
PATL1	brown	brown
PTPRC	red	magenta
PIGM	green	cyan
CIP2A	brown	brown
UBE2M	cyan	cyan
PTGIS	turquoise	turquoise
ARHGEF26	turquoise	turquoise
ALG1L2	grey	grey
RRP12	black	cyan
TELO2	black	cyan
TXLNG	brown	brown
IRF6	green	cyan
AMPD2	black	cyan
ZBTB20	turquoise	turquoise
SF3B6	brown	brown
SAA2-SAA4	grey	grey
HMG20A	yellow	cyan
EEF1A2	grey	grey
FAM171B	turquoise	turquoise
ELK3	purple	turquoise
QSER1	blue	cyan
EME2	tan	tan
KLHDC4	yellow	cyan
UBR7	green	cyan
STAP2	grey	grey
PTGDR2	grey	grey
ADAMTS10	pink	turquoise
TRIAP1	brown	brown
SLC46A3	grey	grey
ACOT13	grey	grey
CLPTM1L	yellow	cyan
RCC1L	black	cyan
FAM50A	grey	grey
DEFB131B	blue	cyan
G3BP2	green	cyan
LONRF3	grey	grey
ERBIN	blue	cyan
SLC28A3	grey	grey
EML3	yellow	cyan
GABRE	grey	grey
CD300LF	magenta	magenta
CCSER1	blue	cyan
SCARA5	turquoise	turquoise
IPO11	salmon	cyan
INVS	blue	cyan
SCARA3	turquoise	turquoise
INO80D	blue	cyan
STAT2	lightcyan	lightcyan
ANKRD10	blue	cyan
CDK5R2	grey	grey
TRMT10B	blue	cyan
ELOB	grey	grey
SPTLC2	yellow	cyan
UBP1	blue	cyan
CD7	red	magenta
P2RX7	magenta	magenta
PLEK	magenta	magenta
CLUH	black	cyan
STRAP	green	cyan
COG1	black	cyan
MINPP1	brown	brown
IMPACT	grey	grey
AMBP	grey	grey
LBX2	greenyellow	greenyellow
RCAN2	turquoise	turquoise
GGA2	yellow	cyan
MMP25	magenta	magenta
AKR7A2	grey	grey
RNF31	yellow	cyan
GLRX	magenta	magenta
TSC22D2	yellow	cyan
IKBIP	magenta	magenta
EXOC6	green	cyan
CSDC2	turquoise	turquoise
RAB26	grey	grey
CAVIN3	pink	turquoise
RAB3B	grey	grey
HAVCR2	magenta	magenta
P2RY10	red	magenta
ASPM	brown	brown
IRAK2	grey	grey
SSR1	green	cyan
MCUR1	green	cyan
DBI	turquoise	turquoise
KIAA0319L	yellow	cyan
TTC26	green	cyan
ZC3HAV1	blue	cyan
TSSK4	blue	cyan
TNFSF8	red	magenta
SERPINB5	grey	grey
ETV7	lightcyan	lightcyan
ZFP64	greenyellow	greenyellow
MED29	cyan	cyan
TASOR	blue	cyan
STX1A	grey	grey
NIPAL3	blue	cyan
PRIM1	brown	brown
GHITM	brown	brown
GYG2	grey	grey
CUTA	grey	grey
COPRS	brown	brown
ZXDB	blue	cyan
HLA-DQB1	magenta	magenta
SYNJ2	yellow	cyan
PET100	grey	grey
SUCLG2	salmon	cyan
GSPT2	turquoise	turquoise
GPR18	red	magenta
CPVL	magenta	magenta
PAQR4	brown	brown
EDNRB	purple	turquoise
KIAA0895L	tan	tan
STMN2	turquoise	turquoise
ABCF3	black	cyan
ZFP30	blue	cyan
DISP1	blue	cyan
ZMYND12	grey	grey
TSC1	blue	cyan
ATP5IF1	turquoise	turquoise
CCNT1	green	cyan
CAMK2N1	grey	grey
SMCHD1	blue	cyan
LHFPL6	turquoise	turquoise
SMPDL3A	grey	grey
NIBAN1	turquoise	turquoise
CHKA	greenyellow	greenyellow
ZDHHC13	green	cyan
RCL1	green	cyan
BAK1	brown	brown
NUP35	brown	brown
ZNF577	turquoise	turquoise
FAM228B	turquoise	turquoise
PUF60	midnightblue	midnightblue
UBE2L6	lightcyan	lightcyan
MYO5C	green	cyan
CDC20	brown	brown
PLEKHG1	blue	cyan
PARP9	lightcyan	lightcyan
KLHL29	turquoise	turquoise
TIAF1	tan	tan
PDE1A	turquoise	turquoise
HEXA	magenta	magenta
HSPA13	blue	cyan
